"filename", "language", "Vue.js", "JavaScript", "JSON", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\karpad2\git\obudai_diplomamunka\src\App.vue", "Vue.js", 59, 0, 0, 0, 0, 6, 6, 71
"c:\Users\karpad2\git\obudai_diplomamunka\src\assets\glogo.vue", "Vue.js", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\karpad2\git\obudai_diplomamunka\src\assets\logo.svg", "XML", 0, 0, 0, 74, 0, 0, 1, 75
"c:\Users\karpad2\git\obudai_diplomamunka\src\assets\logo.vue", "Vue.js", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\karpad2\git\obudai_diplomamunka\src\assets\logo2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\karpad2\git\obudai_diplomamunka\src\bluetooth\BluetoothTerminal.js", "JavaScript", 0, 212, 0, 0, 0, 148, 76, 436
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyCodes\index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 10, 54
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\devices.js", "JavaScript", 0, 30, 0, 0, 0, 1, 4, 35
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\get_data.js", "JavaScript", 0, 39, 0, 0, 0, 53, 7, 99
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\index.js", "JavaScript", 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\init.js", "JavaScript", 0, 45, 0, 0, 0, 0, 2, 47
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\send_data.js", "JavaScript", 0, 44, 0, 0, 0, 16, 4, 64
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\send_finish.js", "JavaScript", 0, 16, 0, 0, 0, 16, 9, 41
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\BlocklyJS\start_room.js", "JavaScript", 0, 18, 0, 0, 0, 16, 8, 42
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Bluetooth.vue", "Vue.js", 20, 0, 0, 0, 0, 1, 2, 23
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Camera.vue", "Vue.js", 91, 0, 0, 0, 0, 11, 12, 114
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Cameras.vue", "Vue.js", 61, 0, 0, 0, 0, 0, 10, 71
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Ciao.vue", "Vue.js", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Device.vue", "Vue.js", 302, 0, 0, 0, 0, 39, 52, 393
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Devices.vue", "Vue.js", 76, 0, 0, 0, 0, 51, 14, 141
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\ElapsedTime.vue", "Vue.js", 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Error404.vue", "Vue.js", 67, 0, 0, 0, 0, 0, 9, 76
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Event.vue", "Vue.js", 99, 0, 0, 0, 0, 12, 15, 126
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Events.vue", "Vue.js", 147, 0, 0, 0, 0, 0, 14, 161
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Home.vue", "Vue.js", 148, 0, 0, 0, 0, 3, 26, 177
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Index.vue", "Vue.js", 277, 0, 0, 0, 0, 12, 42, 331
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Info.vue", "Vue.js", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Lobby.vue", "Vue.js", 285, 0, 0, 0, 0, 2, 38, 325
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\PreviousRun.vue", "Vue.js", 90, 0, 0, 0, 0, 11, 11, 112
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\PreviousRuns.vue", "Vue.js", 53, 0, 0, 0, 0, 8, 9, 70
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Program.vue", "Vue.js", 172, 0, 0, 0, 0, 11, 29, 212
"c:\Users\karpad2\git\obudai_diplomamunka\src\components\Programs.vue", "Vue.js", 59, 0, 0, 0, 0, 0, 8, 67
