Date : 2021-10-10 16:21:07
Directory : c:\Users\karpad2\git\obudai_diplomamunka\src
Total : 78 files,  6417 codes, 525 comments, 849 blanks, all 7791 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue.js     |         53 |      5,086 |        245 |        617 |      5,948 |
| JavaScript |         20 |      1,179 |        280 |        223 |      1,682 |
| XML        |          2 |         75 |          0 |          1 |         76 |
| JSON       |          2 |         40 |          0 |          4 |         44 |
| SCSS       |          1 |         37 |          0 |          4 |         41 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |         78 |      6,417 |        525 |        849 |      7,791 |
| assets                                                                           |          4 |         88 |          0 |          2 |         90 |
| bluetooth                                                                        |          1 |        212 |        148 |         76 |        436 |
| components                                                                       |         57 |      5,181 |        341 |        645 |      6,167 |
| components\BlocklyCodes                                                          |          1 |         44 |          0 |         10 |         54 |
| components\BlocklyJS                                                             |          7 |        209 |        102 |         37 |        348 |
| components\account                                                               |          3 |        224 |          3 |         31 |        258 |
| components\flash_device                                                          |          1 |         24 |          0 |          8 |         32 |
| components\parts                                                                 |         22 |      2,111 |         70 |        169 |      2,350 |
| datas                                                                            |          1 |         55 |          0 |          5 |         60 |
| file                                                                             |          1 |         18 |          5 |          3 |         26 |
| file_cloud                                                                       |          1 |         12 |          0 |          1 |         13 |
| firebase                                                                         |          3 |        106 |         13 |         21 |        140 |
| icons                                                                            |          1 |          3 |          0 |          0 |          3 |
| mod_data                                                                         |          3 |        335 |          9 |         40 |        384 |
| mod_data\del_data                                                                |          1 |         30 |          3 |          4 |         37 |
| mod_data\get_data                                                                |          1 |        132 |          3 |         13 |        148 |
| mod_data\set_data                                                                |          1 |        173 |          3 |         23 |        199 |
| router                                                                           |          1 |        151 |          1 |         15 |        167 |
| style                                                                            |          1 |         37 |          0 |          4 |         41 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                         | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
